; specify pairs of colour name and colour values (opacity, red, green, blue)
construction_outline		0, 128, 119, 97		; outline for construction queue slots
construction_slot		128, 255, 255, 255	; construction queue slot

heading_text			255, 0, 0, 0		; scroll heading text
sub_heading_text		255, 0, 0, 0		; scroll sub heading text
list_header_text		255, 0, 0, 0		; scroll list header text
body_text			255, 0, 0, 0		; scroll body text
tab_text			255, 0, 0, 0		; scroll tab header text
tab_text_unsel			255, 128, 128, 128	; unselectable scroll tab header text
list_info_text			255, 0, 0, 0		; character list info text (name)

positive_value_text             255, 0, 128, 0          ; positive value
negative_value_text             255, 200, 0, 0          ; negative value
button_text			255, 0, 0, 0		; button text colour

ally_text			255, 0, 128, 0		; ally faction name text colour in diplomacy scroll
neutral_text			255, 255, 255, 255	; neutral faction name text colour in diplomacy scroll
enemy_text			255, 200, 0, 0		; enemy faction name text colour in diplomacy scroll
primary_diplomacy_text		255, 0, 0, 0		; primary text colour of diplomacy scroll
secondary_diplomacy_text	255, 255, 255, 255	; secondary text colour of diplomacy scroll
diplomacy_instruct_text		255, 50, 50, 50		; the text colour for the diplomacy instructions
diplomacy_select_text		255, 0, 0, 200		; the text colour for selectable diplomacy items

sea_route			196, 50, 255, 0		; sea route colour
sea_route_fogged		196, 200, 200, 200	; sea route colour when under fog of war

riot				255, 200, 0, 0
disillusioned			255, 200, 150, 0
content				255, 0, 200, 0

; Hotseat Scroll components
hs_scroll_title			255, 0, 0, 0
hs_password_descr		255, 0, 0, 50
hs_password_string		255, 0, 0, 0
hs_password_input		255, 0, 0, 50
hs_start_button			255, 0, 0, 0
hs_details_title		255, 0, 0, 0
hs_details_text			255, 50, 50, 50
hs_details_good			255, 0, 100, 0
hs_details_bad			255, 200, 0, 0
hs_error_string			255, 200, 0, 0
hs_faction_name			255, 10, 10, 10

;;;;;;;;;;;;;;;;;;;;
; BATTLE COMPONENTS;
;;;;;;;;;;;;;;;;;;;;

marker_formed                   255, 255, 255, 255
marker_proxy_summer             255, 255, 255,   0
marker_proxy_summer_selected    255,   0, 255,   0
marker_proxy_winter             255, 255,   0, 255
marker_proxy_winter_selected    255,   0,   0, 255
marker_select                   255,   0, 255,   0
support_army_marker_select	    255,   0,   0, 255

marker_prim_us					255,   0,  64,   0
marker_scnd_us					255,   0, 255,   0
marker_prim_allied				255,   0,   0,  64
marker_scnd_allied				255,   0,   0, 255
marker_prim_enemy				255,  64,   0,   0
marker_scnd_enemy				255, 255,   0,   0
marker_prim_non_combatant			255,  64,  64,  64
marker_scnd_non_combatant			255, 255, 255, 255

own_marker_flash				255,   0, 255,   0
ally_marker_flash				255,   0,   0, 255
enemy_marker_flash				255, 255,   0,   0

